x, fx
0, 1
0.0628319, 1
0.125664, 1
0.188496, 1
0.251327, 1
0.314159, 1
0.376991, 1
0.439823, 1
0.502655, 1
0.565487, 1
0.628319, 1
0.69115, 1
0.753982, 1
0.816814, 1
0.879646, 1
0.942478, 1
1.00531, 1
1.06814, 1
1.13097, 1
1.19381, 1
1.25664, 1
1.31947, 1
1.3823, 1
1.44513, 1
1.50796, 1
1.5708, 0
1.63363, 0
1.69646, 0
1.75929, 0
1.82212, 0
1.88496, 0
1.94779, 0
2.01062, 0
2.07345, 0
2.13628, 0
2.19912, 0
2.26195, 0
2.32478, 0
2.38761, 0
2.45044, 0
2.51327, 0
2.57611, 0
2.63894, 0
2.70177, 0
2.7646, 0
2.82743, 0
2.89027, 0
2.9531, 0
3.01593, 0
3.07876, 0
3.14159, 0
3.20442, 0
3.26726, 0
3.33009, 0
3.39292, 0
3.45575, 0
3.51858, 0
3.58142, 0
3.64425, 0
3.70708, 0
3.76991, 0
3.83274, 0
3.89558, 0
3.95841, 0
4.02124, 0
4.08407, 0
4.1469, 0
4.20973, 0
4.27257, 0
4.3354, 0
4.39823, 0
4.46106, 0
4.52389, 0
4.58673, 0
4.64956, 0
4.71239, 0
4.77522, 0
4.83805, 0
4.90088, 0
4.96372, 0
5.02655, 0
5.08938, 0
5.15221, 0
5.21504, 0
5.27788, 0
5.34071, 0
5.40354, 0
5.46637, 0
5.5292, 0
5.59204, 0
5.65487, 0
5.7177, 0
5.78053, 0
5.84336, 0
5.90619, 0
5.96903, 0
6.03186, 0
6.09469, 0
6.15752, 0
6.22035, 0
6.28319, 0
